Real-time Process Information (Top Output):
top - 04:28:14 up 16 min,  1 user,  load average: 0.60, 0.54, 0.36
Tasks: 358 total,   1 running, 357 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.7 us,  0.4 sy,  0.0 ni, 98.9 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15320.0 total,   9803.4 free,   2572.8 used,   2943.7 buff/cache
MiB Swap:  19531.0 total,  19531.0 free,      0.0 used.  12342.7 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1772 ayush     20   0  463172   7168   6656 S   0.0   0.0   0:00.10 xdg-document-po
   1783 ayush     20   0  236144   6144   5760 S   0.0   0.0   0:00.00 xdg-permission-
   1790 root      20   0    2792   1792   1792 S   0.0   0.0   0:00.00 fusermount3
   1805 ayush     39  19  633480  25996  18048 S   0.0   0.2   0:00.35 tracker-miner-f
   1816 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 krfcommd
   1817 ayush     20   0  389788  11008   8960 S   0.0   0.1   0:00.15 gvfs-udisks2-vo
   1822 ayush     20   0  315200   7936   7040 S   0.0   0.1   0:00.06 gvfs-afc-volume
   1827 ayush     20   0  236628   6656   6144 S   0.0   0.0   0:00.02 gvfs-goa-volume
   1831 ayush     20   0  578320  40320  33024 S   0.0   0.3   0:00.04 goa-daemon
   1833 ayush     20   0  162384   5888   5504 S   0.0   0.0   0:00.00 gdm-wayland-ses
   1841 ayush     20   0  338396  14976  13184 S   0.0   0.1   0:00.03 goa-identity-se
   1843 ayush     20   0  223040  15872  14080 S   0.0   0.1   0:00.02 gnome-session-b
   1852 ayush     20   0  237540   6912   6272 S   0.0   0.0   0:00.03 gvfs-gphoto2-vo
   1871 ayush     20   0  236452   6400   6016 S   0.0   0.0   0:00.02 gvfs-mtp-volume
   1901 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/5:2
   1905 ayush     20   0   91904   5504   5120 S   0.0   0.0   0:00.00 gnome-session-c
   1917 ayush     20   0  519184  17152  14592 S   0.0   0.1   0:00.12 gnome-session-b
   1935 ayush     20   0  309624   7680   6912 S   0.0   0.0   0:00.01 at-spi-bus-laun
   1943 ayush     20   0    8560   4352   3968 S   0.0   0.0   0:00.04 dbus-daemon
   1947 ayush     20   0 7002092 320688 141980 S   0.0   2.0   1:22.65 gnome-shell
   2040 ayush     20   0  582636  18176  15488 S   0.0   0.1   0:00.03 gnome-shell-cal
   2046 ayush     20   0  392168  25344  21760 S   0.0   0.2   0:00.04 evolution-sourc
   2048 ayush     20   0  157092   5888   5248 S   0.0   0.0   0:00.06 dconf-service
   2057 ayush     20   0  840448  30720  26624 S   0.0   0.2   0:00.06 evolution-calen
   2068 ayush     20   0  745964  28416  24832 S   0.0   0.2   0:00.03 evolution-addre
   2071 ayush     20   0  388592   8704   7680 S   0.0   0.1   0:00.04 gvfsd-trash
   2085 ayush     20   0 2931268  27192  22400 S   0.0   0.2   0:00.05 gjs
   2087 ayush     20   0  162680   7552   6912 S   0.0   0.0   0:00.02 at-spi2-registr
   2111 ayush     20   0    2888   1536   1536 S   0.0   0.0   0:00.00 sh
   2112 ayush     20   0  310424   6656   6144 S   0.0   0.0   0:00.01 gsd-a11y-settin
   2114 ayush     20   0  315308  11852   6912 S   0.0   0.1   0:02.74 ibus-daemon
   2115 ayush     20   0  462668  26496  20480 S   0.0   0.2   0:00.13 gsd-color
   2116 ayush     20   0  375468  16256  14336 S   0.0   0.1   0:00.02 gsd-datetime
   2119 ayush     20   0  311928   7424   6912 S   0.0   0.0   0:00.04 gsd-housekeepin
   2122 ayush     20   0  340576  21764  17284 S   0.0   0.1   0:00.09 gsd-keyboard
   2126 ayush     20   0  864196  26500  21124 S   0.0   0.2   0:00.12 gsd-media-keys
   2129 ayush     20   0  450568  25856  19968 S   0.0   0.2   0:00.13 gsd-power
   2131 ayush     20   0  249848  11264   9984 S   0.0   0.1   0:00.01 gsd-print-notif
   2136 ayush     20   0  457852   6400   6016 S   0.0   0.0   0:00.02 gsd-rfkill
   2137 ayush     20   0  236284   6144   5760 S   0.0   0.0   0:00.00 gsd-screensaver
   2138 ayush     20   0  465940  10624   8960 S   0.0   0.1   0:00.09 gsd-sharing
   2139 ayush     20   0  312304   8192   7424 S   0.0   0.1   0:00.00 gsd-smartcard
   2143 ayush     20   0  319340   9472   8448 S   0.0   0.1   0:00.01 gsd-sound
   2145 ayush     20   0  341168  22400  17536 S   0.0   0.1   0:00.11 gsd-wacom
   2175 ayush     20   0  232264   7552   6144 S   0.0   0.0   0:00.02 gsd-disk-utilit
